,index,url,Company,Job title,Description,skills,education,role,Industry,Funct_role,Employment,exp,salary,loc
0,0,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-data-science-spectrum-consultants-india-pvt-ltd-bengaluru-bangalore-6-to-11-years-181120500381,Spectrum Consultants India Pvt Ltd.,Artificial Intelligence/Machine learning/Data Science,"Job description
 
 
 
 You will be working on cutting edge problems in Deep Learning for Client AI Accelerator SW Stack in a fast paced, dynamic and startup-like environment. 
 
 You will participate in all phases of software development process: designing, developing, debugging, performance optimization and deployment. 
 
 In this role you will have the opportunity to develop software for innovative deep learning accelerators 
 
 Deep Learning System SW full stack development and e2e performance profiling, analysis and optimizations for multinode systems. 
 
 Design and development of kernels / math libraries for high performance. 
 
 Design, develop, optimize and validate Deep Learning software stack for distributed systems. 
 
 Technical leadership to a team of engineers in design, development and delivery 
 
 Framework/bridge/JIT compiler development and optimizations. 
 
 
 Qualifications: 
 
 
 MS or PhD in CS/ECE or related fields with 6+ years of experience, and 3+ years of relevant experience in AI/Deep Learning 
 
 Proven work experience in Modern C++ (C++11/14/17), minimum of 3 years; exceptional coding and debugging skills 
 
 Experience in design and development of kernels / DSP modules and optimizations. 
 
 Experience in full stack development and performance engineering including identifying and building tools for performance profiling, analysis and debug is a big plus. 
 
 Knowledge and experience with graph optimization/graph compiler techniques especially optimizations is a plus. 
 
 Knowledge and experience in low level programming and optimizations, including parallel/distributed algorithms.  
 
 Understanding of performance libraries for mathematical operations used in neural networks. 
 
 Familiarity with Python and C++/Python interoperability 
 
 Experience with DL frameworks (eg, PyTorch, Tensorflow) 
 
 Experience in multi-threaded and distributed programming 
 
 Knowledge of GPGPU programming technologies 
 
Role
Software Developer
,
Industry Type
Recruitment
,
 Staffing
,
Functional Area
IT Software - System Programming
,
Employment Type
Full Time, Permanent
Role Category
Programming & Design
Education
UG :
Any Graduate in Any Specialization
PG :
Post Graduation Not Required
Key Skills
deep learning
C++
JIT
data science
Coding
Neural networks
Artificial Intelligence
Machine learning
Distribution system
Python",deep learning | C++ | JIT | data science | Coding | Neural networks | Artificial Intelligence | Machine learning | Distribution system | Python,Education/nUG :/nAny Graduate in Any Specialization/nPG :/nPost Graduation Not Required,"Software Developer,Programming & Design","Recruitment, Staffing,","IT Software - System Programming,","Full Time, Permanent",6 - 11 years,Not Disclosed,Bengaluru
1,0,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-data-science-spectrum-consultants-india-pvt-ltd-bengaluru-bangalore-6-to-12-years-181120500380,Spectrum Consultants India Pvt Ltd.,Artificial Intelligence/Machine learning/Data Science,"Job description
 
 
 
 You will be working on cutting edge problems in Deep Learning for Client AI Accelerator SW Stack in a fast paced, dynamic and startup-like environment. 
 
 You will participate in all phases of software development process: designing, developing, debugging, performance optimization and deployment. 
 
 In this role you will have the opportunity to develop software for innovative deep learning accelerators 
 
 Deep Learning System SW full stack development and e2e performance profiling, analysis and optimizations for multinode systems. 
 
 Design and development of kernels / math libraries for high performance. 
 
 Design, develop, optimize and validate Deep Learning software stack for distributed systems. 
 
 Technical leadership to a team of engineers in design, development and delivery 
 
 Framework/bridge/JIT compiler development and optimizations. 
 
 
 Qualifications: 
 
 
 MS or PhD in CS/ECE or related fields with 6+ years of experience, and 3+ years of relevant experience in AI/Deep Learning 
 
 Proven work experience in Modern C++ (C++11/14/17), minimum of 3 years; exceptional coding and debugging skills 
 
 Experience in design and development of kernels / DSP modules and optimizations. 
 
 Experience in full stack development and performance engineering including identifying and building tools for performance profiling, analysis and debug is a big plus. 
 
 Knowledge and experience with graph optimization/graph compiler techniques especially optimizations is a plus. 
 
 Knowledge and experience in low level programming and optimizations, including parallel/distributed algorithms.  
 
 Understanding of performance libraries for mathematical operations used in neural networks. 
 
 Familiarity with Python and C++/Python interoperability 
 
 Experience with DL frameworks (eg, PyTorch, Tensorflow) 
 
 Experience in multi-threaded and distributed programming 
 
 Knowledge of GPGPU programming technologies 
 
Role
Software Developer
,
Industry Type
Recruitment
,
 Staffing
,
Functional Area
IT Software - System Programming
,
Employment Type
Full Time, Permanent
Role Category
Programming & Design
Education
UG :
Any Graduate in Any Specialization
PG :
Post Graduation Not Required
Key Skills
deep learning
C++
JIT
data science
Coding
Neural networks
Artificial Intelligence
Machine learning
Distribution system
Python",deep learning | C++ | JIT | data science | Coding | Neural networks | Artificial Intelligence | Machine learning | Distribution system | Python,Education/nUG :/nAny Graduate in Any Specialization/nPG :/nPost Graduation Not Required,"Software Developer,Programming & Design","Recruitment, Staffing,","IT Software - System Programming,","Full Time, Permanent",6 - 12 years,Not Disclosed,Bengaluru
2,0,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-data-science-spectrum-consultants-india-pvt-ltd-bengaluru-bangalore-10-to-15-years-181120500379,Spectrum Consultants India Pvt Ltd.,Artificial Intelligence/Machine learning/Data Science,"Job description
 
 
 
 You will be working on cutting edge problems in Deep Learning for Client AI Accelerator SW Stack in a fast paced, dynamic and startup-like environment. 
 
 You will participate in all phases of software development process: designing, developing, debugging, performance optimization and deployment. 
 
 In this role you will have the opportunity to develop software for innovative client deep learning accelerators 
 
 Deep Learning System SW full stack development and e2e performance profiling, analysis and optimizations. 
 
 Design, develop, optimize and validate Deep Learning software stack for distributed systems. 
 
 Technical leadership to a team of engineers in design, development and delivery 
 
 Framework/bridge/JIT compiler development and optimizations. 
 
 
 Qualifications: 
 
 
 MS or PhD in CS/ECE or related fields with 10+ years of experience, and 3+ years of relevant experience in AI/Deep Learning 
 
 Proven work experience in Modern C++ (C++11/14/17), minimum of 3 years; exceptional coding and debugging skills 
 
 Experience in full stack development and performance engineering including identifying and building tools for performance profiling, analysis and debug. 
 
 Knowledge and experience with graph optimization/graph compiler techniques especially optimizations is a plus. 
 
 Knowledge and experience in low level programming and optimizations, including parallel/distributed algorithms. Understanding of performance libraries for mathematical operations used in neural networks. 
 
 Familiarity with Python and C++/Python interoperability 
 
 Experience with DL frameworks (eg, PyTorch, Tensorflow) 
 
 Experience in multi-threaded and distributed programming 
 
 Knowledge of GPGPU programming technologies 
 
 Proven experience in providing technical leadership to a team of engineers to solve complex problems. 
 
Role
Team Lead/Technical Lead
,
Industry Type
Recruitment
,
 Staffing
,
Functional Area
IT Software - System Programming
,
Employment Type
Full Time, Permanent
Role Category
Programming & Design
Education
UG :
Any Graduate in Any Specialization
PG :
Post Graduation Not Required
Key Skills
deep learning
C++
Lead Architect
JIT
Coding
Neural networks
Artificial Intelligence
Machine learning
Distribution system
Python",deep learning | C++ | Lead Architect | JIT | Coding | Neural networks | Artificial Intelligence | Machine learning | Distribution system | Python,Education/nUG :/nAny Graduate in Any Specialization/nPG :/nPost Graduation Not Required,"Team Lead/Technical Lead,Programming & Design","Recruitment, Staffing,","IT Software - System Programming,","Full Time, Permanent",10 - 15 years,Not Disclosed,Bengaluru
3,0,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-data-science-spectrum-consultants-india-pvt-ltd-bengaluru-bangalore-6-to-11-years-181120500378,Spectrum Consultants India Pvt Ltd.,Artificial Intelligence/Machine learning/Data Science,"Job description
 
 
 
 You will be working on cutting edge problems in Deep Learning for Client AI Accelerator SW Stack in a fast paced, dynamic and startup-like environment. 
 
 You will participate in all phases of software development process: designing, developing, debugging, performance optimization and deployment. 
 
 In this role you will have the opportunity to develop software for innovative deep learning accelerators 
 
 Deep Learning System SW full stack development and e2e performance profiling, analysis and optimizations. 
 
 Design, develop, optimize and validate Deep Learning software stack for distributed systems. 
 
 Framework/bridge/JIT compiler development and optimizations. 
 
 
 Qualifications: 
 
 
 MS or PhD in CS/ECE or related fields with 6+ years of experience, and 3+ years of relevant experience in AI/Deep Learning 
 
 Proven work experience in Modern C++ (C++11/14/17), minimum of 3 years; exceptional coding and debugging skills 
 
 Experience in full stack development and performance engineering including identifying and building tools for performance profiling, analysis and debug. 
 
 Knowledge and experience with graph optimization/graph compiler techniques especially optimizations is a plus. 
 
 Knowledge and experience in low level programming and optimizations, including parallel/distributed algorithms. Understanding of performance libraries for mathematical operations used in neural networks. 
 
 Familiarity with Python and C++/Python interoperability 
 
 Experience with DL frameworks (eg, PyTorch, Tensorflow) 
 
 Experience in multi-threaded and distributed programming 
 
 Knowledge of GPGPU programming technologies 
 
 Excellent problem solving skills and out of the box thinking 
 
Role
Software Developer
,
Industry Type
Recruitment
,
 Staffing
,
Functional Area
IT Software - System Programming
,
Employment Type
Full Time, Permanent
Role Category
Programming & Design
Education
UG :
Any Graduate in Any Specialization
PG :
Post Graduation Not Required
Key Skills
deep learning
C++
JIT
data science
Coding
Neural networks
Artificial Intelligence
Machine learning
Distribution system
Python",deep learning | C++ | JIT | data science | Coding | Neural networks | Artificial Intelligence | Machine learning | Distribution system | Python,Education/nUG :/nAny Graduate in Any Specialization/nPG :/nPost Graduation Not Required,"Software Developer,Programming & Design","Recruitment, Staffing,","IT Software - System Programming,","Full Time, Permanent",6 - 11 years,Not Disclosed,Bengaluru
4,0,https://www.naukri.com/job-listings-machine-learning-engineer-alstom-transport-india-ltd-bengaluru-bangalore-2-to-5-years-231120905840,Alstom Transport India Ltd.,Machine Learning Engineer,"Job description
Roles and Responsibilities
RESPONSIBILITIES:
Design and develop data-driven analysis, models for importing of text document, requirements, structured and non-structured data.
Design models and pipeline for pre - processing of data and automatic classification based on Machine Learning /Artificial Intelligence models
Identify, analyze and interpret trends and patterns in complex data to provide answers to Operational/service questions
Present data and analysis in a clear and concise manner to allowing audience to quickly understand results and recommendations to make data-driven decisions
Work collaboratively with engineering and product development teams and cross-functional partners develop, execute, and maintain analytic
EDUCATION:
B.Tech./ B.E./M.E./M.Tech./M.S. in Computer Science, Information Technology, EE, EEE,
BEHAVIORAL COMPETENCIES:
Be Innovative and demonstrate to peers and implement in creation of code libraries, reusable codes, and model-based developments 
Demonstrate excellent communication skills and able to guide, influence and convince others in a matrix organization. 
Team Player.
TECHNICAL COMPETENCIES & EXPERIENCE:
Proven experience as developer in AI/ML/NLP
Experience in data mining, Text Mining, working and creating data architectures
Knowledge of Ontology is an asset
Analytical mind and business acumen
Strong mathematics skills (e.g. statistics, algebra, probability)
Experience in cloud services e.g. PaaS and SaaS, Rest API, serverless functions
Understanding of Compute Engines, VM, Containers is nice to have
Problem-solving aptitude
SOFTWARE SKILLS:
2-5 years of proven experience in developing and implementing common NLP frameworks and languages including NLTK, Spacy, Stanford NLP, BERT, TFIDF, Wordnet
Knowledge of Topic Modelling, Sentiment analysis, Summarization, Semantic analysis, Entity identification, OCR and Word Embedding Vectors and other machine learning / deep learning capabilities using unstructured text datasets.
Experience with implementation/deployment of NLP pipeline
Understanding and experience with leading supervised and unsupervised machine learning methods such as Regression, Neural Networks, Deep Learning, KNN, Naive Bayes, SVM, Decision Trees, Random Forest, Gradient Boosting, Ensemble methods, text mining,
Must have strong development experience in Python and NLP, ML packages
Experience in C#, JavaScript or Java is additional advantage
IT Skills: MS office tools (Word, Excel, PowerPoint)
LANGUAGE & SKILLS:
Proficient in English language
Good written and Verbal communication skills
An agile, inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow, learn and advance in their careers. We are committed to encouraging our employees to reach their full potential, while valuing and respecting them as individuals. 
Role
Data Analyst
,
Industry Type
Courier
,
 Transportation
,
 Freight 
,
 Warehousing
,
Functional Area
Analytics & Business Intelligence
,
Employment Type
Full Time, Permanent
Role Category
Analytics & BI
Education
UG :
B.Tech/B.E. in Electrical, Computers
PG :
M.Tech in Computers, Electrical, MS/M.Sc(Science) in Computers, Electrical Engineering
Doctorate :
Doctorate Not Required
Key Skills
Nltk
NLP
Artificial Intelligence
Neural Networks
Knn
Text Mining
Spacy
Machine Learning
Deep Learning
Python",Nltk | NLP | Artificial Intelligence | Neural Networks | Knn | Text Mining | Spacy | Machine Learning | Deep Learning | Python,"Education/nUG :/nB.Tech/B.E. in Electrical, Computers/nPG :/nM.Tech in Computers, Electrical, MS/M.Sc(Science) in Computers, Electrical Engineering/nDoctorate :/nDoctorate Not Required","Data Analyst,Analytics & BI","Courier, Transportation, Freight , Warehousing,","Analytics & Business Intelligence,","Full Time, Permanent",2 - 5 years,Not Disclosed,Bengaluru
5,0,https://www.naukri.com/job-listings-lead-data-scientist-machine-learning-data-mining-wrackle-technologies-pvt-ltd-bengaluru-bangalore-6-to-11-years-271120902143,Wrackle Technologies Pvt Ltd,Lead Data Scientist - Machine Learning/ Data Mining,"Job description
Roles and Responsibilities
Requirements :
- 6-9 years of strong experience in data mining, machine learning and statistical analysis.
- BS/MS/PhD in Computer Science, Statistics, Applied Math, or related areas from Premier institutes ( only IITs / IISc / BITS / Top NITs or top US university should apply)
- Ability to lead and deliver in a fast-paced start-up environment.
- Fluency in tools such as Python/R/Matlab etc.
- Strong intuition for data and Keen aptitude on large scale data analysis
- Excellent written and verbal communication skills.
- Ability to collaborate across teams and strong interpersonal skills.
Role
Data Analyst
,
Industry Type
IT-Software
,
 Software Services
,
Functional Area
Analytics & Business Intelligence
,
Employment Type
Full Time, Permanent
Role Category
Analytics & BI
Education
UG :
B.Sc in Maths, Computers, Statistics
PG :
MS/M.Sc(Science) in Computers, Statistics, Maths
Doctorate :
Ph.D in Statistics, Computers, Maths
Key Skills
Data Science
R
Data Scientist
Data Mining
Statistical Analyst
Machine Learning
MATLAB
Python",Data Science | R | Data Scientist | Data Mining | Statistical Analyst | Machine Learning | MATLAB | Python,"Education/nUG :/nB.Sc in Maths, Computers, Statistics/nPG :/nMS/M.Sc(Science) in Computers, Statistics, Maths/nDoctorate :/nPh.D in Statistics, Computers, Maths","Data Analyst,Analytics & BI","IT-Software, Software Services,","Analytics & Business Intelligence,","Full Time, Permanent",6 - 11 years,Not Disclosed,Bengaluru
6,0,https://www.naukri.com/job-listings-data-scientist-python-matlab-machine-learning-algorithms-wrackle-technologies-pvt-ltd-bengaluru-bangalore-3-to-8-years-251120901199,Wrackle Technologies Pvt Ltd,Data Scientist - Python/MATLAB/Machine Learning Algorithms,"Job description
Roles and Responsibilities
Data Scientist - Data Mining/Machine Learning/Statistical Analysis
Requirements :
- 3-9 years of strong experience in data mining, machine learning, and statistical analysis.
- BS/MS/Ph.D. in Computer Science, Statistics, Applied Math, or related areas from Premier institutes ( only IITs / IISc / BITS / Top NITs or top US university should apply)
- Ability to lead and deliver in a fast-paced start-up environment.
- Fluency in tools such as Matlab, Python, etc.
- Strong intuition for data and Keen aptitude on large scale data analysis
- Excellent written and verbal communication skills.
- Ability to collaborate across teams and strong interpersonal skills.
Role
Data Analyst
,
Industry Type
IT-Software
,
 Software Services
,
Functional Area
Analytics & Business Intelligence
,
Employment Type
Full Time, Permanent
Role Category
Analytics & BI
Education
UG :
B.Tech/B.E. in Any Specialization
PG :
MS/M.Sc(Science) in Computers, Statistics, Maths
Doctorate :
Ph.D in Statistics, Computers, Maths
Key Skills
Data Science
Data Scientist
Data Mining
Statistical Analyst
Machine Learning
MATLAB
Python",Data Science | Data Scientist | Data Mining | Statistical Analyst | Machine Learning | MATLAB | Python,"Education/nUG :/nB.Tech/B.E. in Any Specialization/nPG :/nMS/M.Sc(Science) in Computers, Statistics, Maths/nDoctorate :/nPh.D in Statistics, Computers, Maths","Data Analyst,Analytics & BI","IT-Software, Software Services,","Analytics & Business Intelligence,","Full Time, Permanent",3 - 8 years,Not Disclosed,Bengaluru
7,0,https://www.naukri.com/job-listings-lead-data-scientist-machine-learning-data-mining-wrackle-technologies-pvt-ltd-bengaluru-bangalore-6-to-11-years-171120901118,Wrackle Technologies Pvt Ltd,Lead Data Scientist - Machine Learning/Data Mining,"Job description
Roles and Responsibilities
Requirements :
- 6-9 years of strong experience in data mining, machine learning and statistical analysis.
- BS/MS/PhD in Computer Science, Statistics, Applied Math, or related areas from Premier institutes ( only IITs / IISc / BITS / Top NITs or top US university should apply)
- Ability to lead and deliver in a fast-paced start-up environment.
- Fluency in tools such as Python/R/Matlab etc.
- Strong intuition for data and Keen aptitude on large scale data analysis
- Excellent written and verbal communication skills.
- Ability to collaborate across teams and strong interpersonal skills.
Role
Team Lead/Technical Lead
,
Industry Type
IT-Software
,
 Software Services
,
Functional Area
IT Software - DBA
,
 Datawarehousing
,
Employment Type
Full Time, Permanent
Role Category
Programming & Design
Education
UG :
B.A in Maths, B.Sc in Computers, Statistics
PG :
MS/M.Sc(Science) in Computers, Statistics, Maths
Doctorate :
Ph.D in Statistics, Computers, Maths
Key Skills
Data Science
R
Data Scientist
Data Mining
Statistical Analyst
Machine Learning
MATLAB
Python",Data Science | R | Data Scientist | Data Mining | Statistical Analyst | Machine Learning | MATLAB | Python,"Education/nUG :/nB.A in Maths, B.Sc in Computers, Statistics/nPG :/nMS/M.Sc(Science) in Computers, Statistics, Maths/nDoctorate :/nPh.D in Statistics, Computers, Maths","Team Lead/Technical Lead,Programming & Design","IT-Software, Software Services,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",6 - 11 years,Not Disclosed,Bengaluru
8,0,https://www.naukri.com/job-listings-senior-data-scientist-machine-learning-artificial-intelligence-confidential-bengaluru-bangalore-11-to-19-years-181120900164,Confidential,Senior Data Scientist - Machine Learning/Artificial Intelligence,"Job description
Roles and Responsibilities
Duties and responsibilities :
- Develop analytical solutions / production-ready models that solve real business problems, taking account of business needs and technology/operations landscape; lead interaction with internal clients and technology on specific projects and initiatives
- Apply advanced analytics, machine learning, and AI techniques to derive business value from the full range of internal and external data sets, leveraging Cloud-based - Big Data- technology
- Build data science pipelines from feature generation, data visualization and models evaluation; design the solution, build initial code and provide documentation with ways of working to maximize time to value and re-usability
- Translate complex data and methodology into strategic, operationally feasible insights and recommendations; automate implementation
- Communicate clearly and effectively to technical and non-technical audiences, verbally and visually, to create understanding, engagement, and buy-in
- Identify trends and opportunities to drive innovation, both in what we do and how we do it; evaluate new data science, machine learning, and AI technologies and tools that can boost team performance, innovation and business value
Qualifications :
Required :
- Advanced Degree in Mathematics, Physics, Computer Science, Engineering, Statistics, or an equivalent discipline required (PhD preferred)
- Experience in developing a variety of machine learning models and algorithms in a commercial environment with a track record of creating meaningful business impact
- Strong SQL and Python skills required; proficiency in at least one open-source programming language (R, Java, C++ or another) desirable
- Expertise in multivariate statistical modelling (e.g. clustering, regression, principal components and factor analysis, time-series forecasting, Bayesian methods)and machine learning(Random Forest, KNN, SVM, boosting and bagging, regularization etc.) required
- Experience with cloud computing platforms (AWS, GCP or other), or equivalent on-premise platform
- Ability to mentor and lead others; provide hands-on technical guidance; conduct code reviews 
- Ability to simultaneously coordinate and track multiple deliverables, tasks and dependencies across multiple stakeholders / business areas
Desirable :
- Experience with neural networks and deep learning, using frameworks such as TensorFlow, desirable
- Proficiency with data visualization tools (D3.js, R Shiny, Looker, Tableau or similar)
- Proficiency with Spark or MapReduce
- Experience working in agile methodology
- Prior experience in retail or FMCG
Role
Analytics Manager
,
Industry Type
IT-Software
,
 Software Services
,
Functional Area
Analytics & Business Intelligence
,
Employment Type
Full Time, Permanent
Role Category
Analytics & BI
Education
UG :
B.Sc in Maths, Physics, Computers, Statistics, B.Tech/B.E. in Computers, B.A in Statistics, Maths, BCA in Computers
PG :
Any Postgraduate in Any Specialization
Doctorate :
Any Doctorate in Any Specialization
Key Skills
Data Science
R
Cloud Computing
Data Pipeline
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Visualization
Machine Learning
MapReduce",Data Science | R | Cloud Computing | Data Pipeline | Data Scientist | Artificial Intelligence | Data Management | Statistical Modeling | Data Visualization | Machine Learning | MapReduce,"Education/nUG :/nB.Sc in Maths, Physics, Computers, Statistics, B.Tech/B.E. in Computers, B.A in Statistics, Maths, BCA in Computers/nPG :/nAny Postgraduate in Any Specialization/nDoctorate :/nAny Doctorate in Any Specialization","Analytics Manager,Analytics & BI","IT-Software, Software Services,","Analytics & Business Intelligence,","Full Time, Permanent",11 - 19 years,Not Disclosed,Bengaluru
9,0,https://www.naukri.com/job-listings-senior-data-scientist-machine-learning-artificial-intelligence-confidential-bengaluru-bangalore-11-to-19-years-171120905077,Confidential,Senior Data Scientist - Machine Learning/Artificial Intelligence,"Job description
Roles and Responsibilities
Duties and responsibilities :
- Develop analytical solutions / production-ready models that solve real business problems, taking account of business needs and technology/operations landscape; lead interaction with internal clients and technology on specific projects and initiatives
- Apply advanced analytics, machine learning, and AI techniques to derive business value from the full range of internal and external data sets, leveraging Cloud-based - Big Data- technology
- Build data science pipelines from feature generation, data visualization and models evaluation; design the solution, build initial code and provide documentation with ways of working to maximize time to value and re-usability
- Translate complex data and methodology into strategic, operationally feasible insights and recommendations; automate implementation
- Communicate clearly and effectively to technical and non-technical audiences, verbally and visually, to create understanding, engagement, and buy-in
- Identify trends and opportunities to drive innovation, both in what we do and how we do it; evaluate new data science, machine learning, and AI technologies and tools that can boost team performance, innovation and business value
Qualifications :
Required :
- Advanced Degree in Mathematics, Physics, Computer Science, Engineering, Statistics, or an equivalent discipline required (PhD preferred)
- Experience in developing a variety of machine learning models and algorithms in a commercial environment with a track record of creating meaningful business impact
- Strong SQL and Python skills required; proficiency in at least one open-source programming language (R, Java, C++ or another) desirable
- Expertise in multivariate statistical modelling (e.g. clustering, regression, principal components and factor analysis, time-series forecasting, Bayesian methods)and machine learning(Random Forest, KNN, SVM, boosting and bagging, regularization etc.) required
- Experience with cloud computing platforms (AWS, GCP or other), or equivalent on-premise platform
- Ability to mentor and lead others; provide hands-on technical guidance; conduct code reviews 
- Ability to simultaneously coordinate and track multiple deliverables, tasks and dependencies across multiple stakeholders / business areas
Desirable :
- Experience with neural networks and deep learning, using frameworks such as TensorFlow, desirable
- Proficiency with data visualization tools (D3.js, R Shiny, Looker, Tableau or similar)
- Proficiency with Spark or MapReduce
- Experience working in agile methodology
- Prior experience in retail or FMCG
Role
Data Analyst
,
Industry Type
IT-Software
,
 Software Services
,
Functional Area
Analytics & Business Intelligence
,
Employment Type
Full Time, Permanent
Role Category
Analytics & BI
Education
UG :
BCA in Computers, B.Sc in Maths, Physics, Computers, Statistics, B.Tech/B.E. in Computers, B.A in Statistics, Maths
PG :
M.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in Physics, Computers, Statistics, Maths, M.A in Maths, Statistics
Doctorate :
Ph.D
Key Skills
Data Science
R
Cloud Computing
Data Pipeline
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Visualization
Machine Learning
MapReduce",Data Science | R | Cloud Computing | Data Pipeline | Data Scientist | Artificial Intelligence | Data Management | Statistical Modeling | Data Visualization | Machine Learning | MapReduce,"Education/nUG :/nBCA in Computers, B.Sc in Maths, Physics, Computers, Statistics, B.Tech/B.E. in Computers, B.A in Statistics, Maths/nPG :/nM.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in Physics, Computers, Statistics, Maths, M.A in Maths, Statistics/nDoctorate :/nPh.D","Data Analyst,Analytics & BI","IT-Software, Software Services,","Analytics & Business Intelligence,","Full Time, Permanent",11 - 19 years,Not Disclosed,Bengaluru
